"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[25]",-0.135946194825643,0.194039761161955,-0.523156563999251,-0.26292482924204,-0.136693780460894,-0.00780416524658506,0.243358229895465,1.00055605015526,3000
"b[26]",0.401082148684859,0.821713887103411,-1.18891786016732,-0.138394887529125,0.376548595890556,0.954722450904452,2.02413346433129,1.0026893169787,920
"b[27]",-0.344484802043165,0.180204405962225,-0.700549407907998,-0.463896829200354,-0.34227975492731,-0.220173538825102,-0.00740867794392774,1.00052386048102,3000
"b[28]",-0.476764213104996,0.257159170876825,-0.96960546153496,-0.653478814827665,-0.473815036968928,-0.30360005601181,0.0275129268876685,1.00117497703765,3000
"b[29]",-0.207165207505468,0.153627643995216,-0.525082634995588,-0.313851559185447,-0.206817193424997,-0.103554152268437,0.0908080272000545,1.00060927761338,3000
"b[30]",-0.0189302228322792,0.150994884871732,-0.304502042635252,-0.12083614693728,-0.0196065213670168,0.0831386859548172,0.274603234413513,1.00157200869154,1900
"b[31]",-0.101810215164253,0.221537386122764,-0.53788330245939,-0.250359618179629,-0.100991512510879,0.0483072052257148,0.339141116138742,1.00113828957516,3000
"b[32]",-0.342747382320845,0.176265389087597,-0.681972484445214,-0.461020752932297,-0.343971829596492,-0.224955796660456,0.00254853460550097,1.00193966264538,1400
"b[33]",-1.3370752537193,1.6925946369935,-4.72443945256792,-2.47326967476675,-1.29717284348777,-0.224154128260969,1.94202957862671,1.00066780380495,3000
"b[34]",0.0438534985547184,0.172895914730136,-0.295216521275629,-0.069726268141122,0.0444269332868443,0.161738026230388,0.377778961144942,1.00052367127821,3000
"b[35]",0.292600247169497,0.158784325882622,-0.0133859539401156,0.189111730012395,0.294102069998269,0.399287633627103,0.60751583665891,1.00112002344557,3000
"b[36]",0.205382124680682,0.473017247817702,-0.702013618786797,-0.112777253000227,0.206213648046647,0.509684677368931,1.16209334763229,1.00076511807725,3000
"b[37]",-0.0841383087971771,0.138134391361248,-0.353918058068242,-0.177816674379608,-0.0864271868497885,0.0119822132969577,0.188967655602811,1.00121315194863,2800
"b[38]",0.106832942617487,0.165841853728312,-0.225086743928836,-0.00248357581944673,0.106129767270541,0.218395382697337,0.443197449969223,1.00136529057872,2300
"b[39]",-0.0580292223948261,0.129099202468643,-0.315379833457348,-0.146908237418053,-0.0583386050635478,0.0276890900301495,0.197332036072547,1.00110899195597,3000
"b[40]",0.126249611440983,0.133231259955837,-0.136452383173944,0.0328067205233682,0.128589348222925,0.216527006075848,0.389199849501042,1.00159784890243,1800
"b[41]",-0.0127055952317538,0.522808763248352,-1.05584022956167,-0.369548721113425,-0.011940624867838,0.344790781731226,1.00267894474461,1.00165929324555,1700
"b[42]",-0.458665349449099,0.182625176139453,-0.815972409447413,-0.585041039311006,-0.459495868508508,-0.332595150393629,-0.0962150230130187,1.00236857940881,1100
"b[43]",0.19797091937954,0.14724843046916,-0.0910372334038996,0.100424926838286,0.196551287735134,0.300854936741142,0.479985317043722,1.00090731674723,3000
